"logical_family_id","dataset","family","files","bytes","formats","parsers","ml_use_cases","heterogeneity_score","suggested_modes","split_by_format","kmeans_selected_k","kmeans_best_k","mclust_components","dbscan_clusters","changepoint_count","hurst","block_random_distance_ratio","temporal_sampling_recommendation","top_regime_driver","conditioning_drop_candidates","conditioning_add_candidates","top_gan_guidance"
"s3-cache-datasets__2022_metaStorage","s3-cache-datasets","2022_metaStorage",5,616636804,"text_zst","generic_text","generic_sequence_or_log",0.8767,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","Family looks comparatively homogeneous in the extracted feature space."
"s3-cache-datasets__2023_metaCDN","s3-cache-datasets","2023_metaCDN",3,3731742149,"text_zst","generic_text","generic_sequence_or_log",0.1459,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","Family looks comparatively homogeneous in the extracted feature space."
"s3-cache-datasets__2023_metaStorage","s3-cache-datasets","2023_metaStorage",6,2884049801,"text,text_zst","generic_text","generic_sequence_or_log",0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","Family spans multiple encodings; keep format-aware preprocessing and avoid blindly pooling structured-table and request-sequence variants. Strongest feature coupling in this pass: first_numeric_diff_mean vs first_numeric_diff_std (corr=0.73). A small set of files are strong multivariate outliers; consider holding them out for ablation or separate mode inspection."
"s3-cache-datasets__2024_google","s3-cache-datasets","2024_google",192,184455433356,"parquet,text_zst","generic_text,parquet_stub","generic_sequence_or_log,inventory_only",0.0642,1,TRUE,2,2,NA,2,NA,NA,NA,"",NA,"","","Family spans multiple encodings; keep format-aware preprocessing and avoid blindly pooling structured-table and request-sequence variants. Strongest feature coupling in this pass: sample_records vs size_bytes (corr=-0.5). A small set of files are strong multivariate outliers; consider holding them out for ablation or separate mode inspection."
"s3-cache-datasets__2026-alibaba-thinkahead","s3-cache-datasets","2026-alibaba-thinkahead",45,15366738380,"oracle_general","oracle_general","request_sequence",0.4254,8,FALSE,2,2,NA,1,7,0.5,0.6332,"block_sampling_preserves_temporal_coherence","abs_stride_std","write_ratio,iat_q50,obj_size_q50,opcode_switch_ratio,tenant_unique","object_unique,signed_stride_lag1_autocorr","Ordered PC1 changepoints suggest 8 regimes when files are ordered by trace start time. Sequential blocks are much more internally coherent than random file batches; block or curriculum sampling is likely safer than pure iid file sampling. Opcode balance is extremely read-skewed; generation should not assume symmetric read/write behavior."
"s3-cache-datasets__alibaba","s3-cache-datasets","alibaba",1000,477220451258,"lcs","lcs","request_sequence",1.302,8,FALSE,2,2,NA,1,22,0.6947,0.6594,"block_sampling_preserves_temporal_coherence","sample_record_rate","iat_q50,obj_size_q50,tenant_unique","object_unique,signed_stride_lag1_autocorr","Ordered PC1 changepoints suggest 23 regimes when files are ordered by trace start time. Sequential blocks are much more internally coherent than random file batches; block or curriculum sampling is likely safer than pure iid file sampling. Write pressure is material; preserve write bursts and opcode transitions in conditioning."
"s3-cache-datasets__cache_trace_twitter_memcache","s3-cache-datasets","cache_trace_twitter_memcache",226,4179512478708,"oracle_general,parquet,text_zst","generic_text,oracle_general,parquet_stub","generic_sequence_or_log,inventory_only,request_sequence",0.6807,1,TRUE,3,3,NA,1,NA,NA,NA,"",NA,"iat_q50,tenant_unique","object_unique,signed_stride_lag1_autocorr,obj_size_std","Family spans multiple encodings; keep format-aware preprocessing and avoid blindly pooling structured-table and request-sequence variants. Opcode balance is extremely read-skewed; generation should not assume symmetric read/write behavior. Burstiness is high; inter-arrival and FFT/ACF losses should stay heavily weighted."
"s3-cache-datasets__cloudphysics","s3-cache-datasets","cloudphysics",107,64319532236,"lcs,text","generic_text,lcs","generic_sequence_or_log,request_sequence",0.8951,3,TRUE,3,3,NA,1,2,0.6618,0.8498,"block_sampling_preserves_temporal_coherence","object_top1_share","iat_q50,obj_size_q50,tenant_unique","object_unique,signed_stride_lag1_autocorr","Family spans multiple encodings; keep format-aware preprocessing and avoid blindly pooling structured-table and request-sequence variants. Ordered PC1 changepoints suggest 3 regimes when files are ordered by trace start time. Sequential blocks are much more internally coherent than random file batches; block or curriculum sampling is likely safer than pure iid file sampling."
"s3-cache-datasets__metaKV","s3-cache-datasets","metaKV",11,33279238718,"lcs,text_zst","generic_text,lcs_stub","generic_sequence_or_log,request_sequence",0.5297,1,TRUE,2,2,NA,1,NA,NA,NA,"",NA,"","","Family spans multiple encodings; keep format-aware preprocessing and avoid blindly pooling structured-table and request-sequence variants. Strongest feature coupling in this pass: sample_records vs size_bytes (corr=-0.95). A small set of files are strong multivariate outliers; consider holding them out for ablation or separate mode inspection."
"s3-cache-datasets__msr","s3-cache-datasets","msr",36,8130400717,"lcs","lcs","request_sequence",1.0567,6,FALSE,2,2,NA,1,5,0.5428,1.1342,"random_sampling_is_less_problematic","signed_stride_lag1_autocorr","iat_q50,obj_size_q50,tenant_unique","object_unique,signed_stride_lag1_autocorr","Ordered PC1 changepoints suggest 6 regimes when files are ordered by trace start time. Write pressure is material; preserve write bursts and opcode transitions in conditioning. Strongest feature coupling in this pass: sample_records vs iat_q99 (corr=-1)."
"s3-cache-datasets__other","s3-cache-datasets","other",2,386344048303,"oracle_general","oracle_general","request_sequence",0.09,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",NA,"burstiness_cv,iat_q50,iat_lag1_autocorr,tenant_unique","object_unique,signed_stride_lag1_autocorr,obj_size_std","Opcode balance is extremely read-skewed; generation should not assume symmetric read/write behavior. Burstiness is high; inter-arrival and FFT/ACF losses should stay heavily weighted. Current characterization suggests extra conditioning value from: object_unique, signed_stride_lag1_autocorr, obj_size_std."
"s3-cache-datasets__tencentBlock","s3-cache-datasets","tencentBlock",4995,817117209599,"lcs","lcs","request_sequence",1.3284,8,FALSE,2,2,NA,3,16,0.7113,0.8463,"block_sampling_preserves_temporal_coherence","iat_q99","iat_q50,obj_size_q50,tenant_unique","object_unique,signed_stride_lag1_autocorr","Ordered PC1 changepoints suggest 17 regimes when files are ordered by trace start time. Sequential blocks are much more internally coherent than random file batches; block or curriculum sampling is likely safer than pure iid file sampling. Write pressure is material; preserve write bursts and opcode transitions in conditioning."
"tencent__cloud_disk","tencent","cloud_disk",16296,7270989623,"tencent_cloud_disk","tencent_cloud_disk","aggregate_time_series",5.5719,8,FALSE,2,2,NA,3,665,0.5,0.6886,"block_sampling_preserves_temporal_coherence","disk_usage_q50","","","High cross-file heterogeneity; favor regime conditioning or multiple family-specific GAN runs over a single unconditional model. Ordered PC1 changepoints suggest 666 regimes when files are ordered by trace start time. Sequential blocks are much more internally coherent than random file batches; block or curriculum sampling is likely safer than pure iid file sampling."
